,addresses,zip,lat,long
475,4225 Director Dr,78219-3201,29.439043,-98.414663
476,3601 Candlebrook Ln,78244-1981,29.45626,-98.366717
477,4000 Barrington,78217-4204,29.522897,-98.417302
478,250 Glenview Dr W,78228-1514,29.48339,-98.564666
479,5660 Fm 78,78219-1136,29.474844,-98.379806
480,5315 Rigsby Ave,78222-1419,29.3983,-98.386356
481,5623 Monterey St,78237-1841,29.429737,-98.564165
482,668 Holbrook,78218-5207,29.48025,-98.410605
483,1022 Grubb Rd,78219-3227,29.436326,-98.411935
484,3370 Nursery Rd,78234,29.464967,-98.428309
485,727 Olmos Dr W,78212-1844,29.470629,-98.505358
486,1115 San Angelo Blvd,78201-2427,29.485949,-98.515738
487,10102 Us Hwy 90 W,78236,29.387049,-98.677686
488,28411 Willis Ranch,78260-6057,29.721152,-98.455437
489,151 Inez Ave,78228-6149,29.441139,-98.563724
490,8541 Lake Vista,78227-4351,29.392879,-98.652173
491,6502 Woodstock Dr,78223-3368,29.363695,-98.418416
492,4915 Cambray Dr,78229-5301,29.494002,-98.582153
493,215 Purdue,78228-5410,29.452258,-98.55834
494,6454 Lake Superior,78222-3344,29.379583,-98.371023
495,2022 Buena Vista St,78207-3809,29.426533,-98.521132
496,2555 Loop 410 Ne,78217-6082,29.516308,-98.415551
497,3400 Ih 37 S,78112-9683,29.283832,-98.394866
498,8671 Loop 410 Sw,78242-2905,29.349142,-98.62852
499,6102 Rose Valley,78242-2521,29.346295,-98.622017
500,107 Yolanda,78228-5860,29.442109,-98.578802
501,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
502,8418 Quintana Rd,78211-3553,29.34356,-98.585297
503,5802 Kim Valley Dr,78242-2212,29.350343,-98.611644
504,108 Chappie James Way,78236-0122,29.386901,-98.599855
505,8902 Presa St S,78223-4741,29.334398,-98.451696
506,818 New Valley Hi Dr,78227,29.378393,-98.646509
507,2627 Culebra Rd,78228-6357,29.447621,-98.550354
508,1221 Lombrano St,78207-1420,29.443212,-98.528757
509,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964
510,2204 Poplar St W,78207-1425,29.440968,-98.527973
511,1102 Hedges St,78203-2146,29.414429,-98.446014
512,300 Wallace St,78237-3114,29.418915,-98.54999
513,119 Hearne,78225-1641,29.389555,-98.522224
514,630 Mitchell St W,78204-2730,29.395317,-98.502609
515,803 Commercial Ave,78211-1745,29.375237,-98.516859
516,902 Crystal,78211-1720,29.377041,-98.517004
517,668 Holbrook,78218-5207,29.48025,-98.410605
518,417 Spriggsdale,78220-1024,29.416998,-98.438526
519,668 Holbrook,78218-5207,29.48025,-98.410605
520,14020 Cross Canyon,78232,29.56619,-98.468783
521,1400 Rio Grande St N,78202,29.430573,-98.447417
522,219 Ashland Dr,78218-1808,29.505303,-98.408141
523,3215 Bob Billa,78223-2863,29.366302,-98.43637
524,8403 Wurzbach Rd,78229-3322,29.518347,-98.574735
525,9130 Mare Country,78254-6180,29.526208,-98.706745
526,2428 Clower St,78201-3344,29.477758,-98.534675
527,15510 Mitchell Blf,78248-2110,29.582772,-98.517473
528,902 Holbrook,78218,29.48491,-98.416246
529,11723 Whisper Valley,78230-3739,29.549848,-98.541879
530,2800 Fredericksburg Rd,78201-4705,29.469501,-98.531066
531,203 Cavalier Ave,78225-1605,29.390368,-98.522101
532,300 Mitchell St E,78210-3847,29.391952,-98.488683
533,7450 Saddlewood,78238-2151,29.493837,-98.634241
534,9338 Perrin Beitel,78217-3500,29.525014,-98.411018
535,3807 Yellow Flax,78253-6474,29.470578,-98.747245
536,5934 Piedmont Glen,78249-4877,29.567833,-98.603584
537,427 Odell St,78212-1856,29.473652,-98.498651
538,2822 Cesar Chavez Blvd W,78207-4717,29.424077,-98.529573
539,15310 Cascade Pt,78253-4718,29.518192,-98.799812
540,1022 Elmira St E,78212-4501,29.441842,-98.484125
541,1623 Santiago St,78207-5842,29.417228,-98.530182
542,325 Dickson Ave W,78214-2423,29.358962,-98.50033
543,3800 Parkdale Dr,78229-2031,29.526269,-98.559494
544,8050 Oakdell Way,78240-3910,29.515752,-98.597878
545,357 Dickson Ave W,78214-2423,29.358969,-98.501734
546,11585 Alamo Ranch,78253-6167,29.487068,-98.721615
547,8400 Old Corpus Christi Rd,78223-4305,29.339793,-98.453781
548,5902 Hazel Valley Dr,78242-1632,29.358175,-98.618041
549,2303 Woodlawn Ave W,78201-5367,29.45516,-98.537822
550,107 Spotted Bear,78223,29.333256,-98.420074
551,119 Hearne,78225-1641,29.389555,-98.522224
552,1300 Elmendorf N,78207-1141,29.441505,-98.527649
553,2900 Flores St S,78204-2631,29.395229,-98.504286
554,6102 Rose Valley,78242-2521,29.346295,-98.622017
555,902 Crystal,78211-1720,29.377041,-98.517004
556,3039 Low Oak,78232-1814,29.590914,-98.440518
557,23500 Ih 10 W,78257,29.656913,-98.625633
558,612 Avondale Ave,78223-2617,29.370659,-98.456302
559,5802 Kim Valley Dr,78242-2212,29.350343,-98.611644
560,111 Yolanda,78228-5860,29.442273,-98.578782
561,1618 Wrangler Dr,78227-2781,29.417041,-98.642585
562,3014 Bear Springs Dr,78245-2228,29.395709,-98.697132
563,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
564,108 Chappie James Way,78236-0122,29.386901,-98.599855
565,1043 Kentucky Ave,78201-6047,29.446674,-98.528766
566,2300 Avenue B,78215-1029,29.448779,-98.475766
567,5410 Morey Rd,78227,29.392178,-98.601061
568,10800 Entrance Rd Ne,,29.425173,-98.494599
569,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964
570,931 Donaldson Ave,78228-3225,29.464147,-98.541715
571,902 Holbrook,78218,29.48491,-98.416246
572,87 Park Ct,78226-1836,29.383315,-98.555378
573,9800 Wurzbach Rd,78230,29.531673,-98.561532
574,5717 New Braunfels Ave S,78223,29.368627,-98.46075
575,923 Morning Oak,78245-1263,29.431391,-98.677199
576,202 Noblewood Dr,78220-1520,29.423247,-98.418575
577,115 Haby,78212-1039,29.489914,-98.505051
578,4527 Rittiman Rd,78218-4352,29.484085,-98.40474
579,307 Chitty St,78226,29.384221,-98.572302
580,6719 Callaghan Rd,78229,29.494506,-98.569185
581,4619 Rittiman Rd,78218-4629,29.484064,-98.401621
582,21619 Roan Blf,78259-2668,29.642664,-98.446169
583,107 Elmhurst Ave,78209-6524,29.459244,-98.467049
584,14119 Emerald Hill Dr,78231-1719,29.577048,-98.535599
585,10762 Pleasanton Rd,78221-9688,29.281297,-98.500289
586,214 Graebner,78225-2225,29.383083,-98.52754
587,5802 Kim Valley Dr,78242-2212,29.350343,-98.611644
588,2906 Fishers Glade,78245-3058,29.401532,-98.675861
589,6210 Rose Valley,78242-2522,29.34599,-98.624996
590,108 Chappie James Way,78236-0122,29.386901,-98.599855
591,700 Holbrook,78218-5207,29.480513,-98.410905
592,426 Margo St,78223-4392,29.331559,-98.421558
593,10800 Entrance Rd Ne,,29.425173,-98.494599
594,107 Yolanda,78228-5860,29.442109,-98.578802
595,108 Chappie James Way,78236-0122,29.386901,-98.599855
596,1006 Holbrook,78218-3325,29.488053,-98.417965
597,8150 Cross Crk,78218-1600,29.512919,-98.402904
598,710 36Th St Nw,78237-1231,29.440075,-98.570602
599,6226 Candlewick Ct,78244-1947,29.456201,-98.365595
600,2902 Fishers Glade,78245-3058,29.401532,-98.675861
601,139 Prelude,78220-3124,29.409921,-98.439521
602,700 Holbrook,78218-5207,29.480513,-98.410905
603,11002 Colt Isle,78254-5721,29.523074,-98.71011
604,4001 Hillswind,78217-4214,29.522155,-98.417195
605,7 Flintstone Ct,78213-3309,29.509503,-98.513968
606,10402 Walnut Crest,78245-2911,29.41891,-98.698027
607,21 Donore Sq,78229-2181,29.512514,-98.564411
608,602 Huisache Ave W,78212-3248,29.45581,-98.502885
609,2241 Orr Dr,78227-3717,29.40842,-98.622197
610,12519 Switchgrass,78252-4415,29.360203,-98.738075
611,12235 Apricot Dr,78247-4237,29.55497,-98.459668
612,8403 Mccullough Ave,78216-6443,29.51536,-98.491734
613,202 Babcock Rd,78201-3116,29.472357,-98.537194
614,107 Storeywood,78213-3024,29.502962,-98.526337
615,2553 Struck Silver,78245-3581,29.404805,-98.716909
616,3823 Spear St,78237-2727,29.4212,-98.565194
617,430 Senova Dr,78216-6454,29.514764,-98.485565
618,726 Southcross Blvd W,78211-2778,29.368217,-98.520429
619,3263 Martin Luther King Dr,78220-2334,29.413451,-98.427622
620,4442 Longvale,78217-3614,29.530153,-98.403632
621,1500 Harness Ln,78227,29.417251,-98.647045
622,4600 Military Dr Sw,78253,29.447346,-98.718672
623,347 Ansley Blvd W,78224,29.335698,-98.527615
624,8802 Military Dr W,78238,29.440934,-98.636133
625,6823 Farrow Place,78240-3428,29.498142,-98.599413
626,7800 Hobble Dr,78227-2651,29.416833,-98.643041
627,212 Henry St,78207-1466,29.443712,-98.527909
628,908 Manor Dr,78228-3256,29.464724,-98.542815
629,1043 Kentucky Ave,78201-6047,29.446674,-98.528766
630,1338 San Francisco St,78201-4113,29.46874,-98.517149
631,803 Navidad N,78207-2262,29.435092,-98.521525
632,2627 Culebra Rd,78228-6357,29.447621,-98.550354
633,5802 Kim Valley Dr,78242-2212,29.350343,-98.611644
634,310 Kampmann Blvd,78201-4830,29.458088,-98.536668
635,1703 Donaldson Ave,78228-3028,29.465335,-98.557479
636,100 Panuco,78237-2154,29.430279,-98.548837
637,602 Huisache Ave W,78212-3248,29.45581,-98.502885
638,182 Amber Valley Dr,78227-4538,29.37047,-98.644616
639,1253 Lombrano St,78207-1420,29.443286,-98.529586
640,1135 Mission Rd,78210-4505,29.385518,-98.489741
641,2900 Flores St S,78204-2631,29.395229,-98.504286
642,218 Beryl Dr,78213-4003,29.497536,-98.532075
643,107 Yolanda,78228-5860,29.442109,-98.578802
644,804 Crystal,78211-1718,29.377051,-98.51435
645,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964
646,700 Holbrook,78218-5207,29.480513,-98.410905
647,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
648,642 Cento Dr,78252,29.340407,-98.634598
649,874 New Valley Hi Dr,78227,29.377539,-98.648545
650,9603 Ray Ellison Blvd,78227,29.391893,-98.656594
651,434 Rex St,78212-1436,29.475101,-98.498728
652,100 Panuco,78237-2154,29.430279,-98.548837
653,108 Chappie James Way,78236-0122,29.386901,-98.599855
654,107 Yolanda,78228-5860,29.442109,-98.578802
655,6103 Apple Valley Dr,78242-1503,29.364037,-98.622281
656,700 Holbrook,78218-5207,29.480513,-98.410905
657,23500 Ih 10 W,78257,29.656913,-98.625633
658,874 New Valley Hi Dr,78227,29.377539,-98.648545
659,1043 Kentucky Ave,78201-6047,29.446674,-98.528766
660,418 Fair Ave,78223-1114,29.38419,-98.470434
661,434 Cable Dr,78227-3104,29.402248,-98.657817
662,680 Basse Rd E,78209-7431,29.498033,-98.475379
663,1100 Vance Jackson,78257,29.592858,-98.589437
664,4200 Commerce St W,78237,29.429891,-98.545655
665,101 Margaret Ave,,29.425173,-98.494599
666,755 Avondale Ave,78223-2207,29.370641,-98.452996
667,623 Storeywood,78213-2836,29.502946,-98.543332
668,902 Crystal,78211-1720,29.377041,-98.517004
669,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964
670,116 Pershing Ave,78209-6505,29.461185,-98.465221
671,2627 Culebra Rd,78228-6357,29.447621,-98.550354
672,1300 Elmendorf N,78207-1141,29.441505,-98.527649
673,425 Juniper St,78223-4399,29.332453,-98.421764
674,874 New Valley Hi Dr,78227,29.377539,-98.648545
675,642 Cento Dr,78252,29.340407,-98.634598
676,310 Kampmann Blvd,78201-4830,29.458088,-98.536668
677,1043 Kentucky Ave,78201-6047,29.446674,-98.528766
678,1602 Donaldson Ave,78228-3025,29.465254,-98.556719
679,5802 Kim Valley Dr,78242-2212,29.350343,-98.611644
680,6102 Rose Valley,78242-2521,29.346295,-98.622017
681,2300 Avenue B,78215-1029,29.448779,-98.475766
682,4567 Lark,78228-4714,29.451833,-98.575512
683,23500 Ih 10 W,78257,29.656913,-98.625633
684,1151 Mission Rd,78210-4505,29.38478,-98.489514
685,435 Rex St,78212-1437,29.4751,-98.498572
686,135 Cass Ave,78204-2202,29.400244,-98.505853
687,6103 Apple Valley Dr,78242-1503,29.364037,-98.622281
688,700 Holbrook,78218-5207,29.480513,-98.410905
689,1300 Elmendorf N,78207-1141,29.441505,-98.527649
690,1043 Kentucky Ave,78201-6047,29.446674,-98.528766
691,909 Manor Dr,78228-3227,29.464719,-98.542816
692,417 Delmar St,78210-2323,29.406941,-98.460346
693,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964
694,700 Memorial St,78228,29.440253,-98.564118
695,108 Chappie James Way,78236-0122,29.386901,-98.599855
696,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
697,700 Holbrook,78218-5207,29.480513,-98.410905
698,107 Yolanda,78228-5860,29.442109,-98.578802
699,409 Cheryl Dr E,78228-3022,29.464721,-98.556643
700,434 Cable Dr,78227-3104,29.402248,-98.657817
701,755 Avondale Ave,78223-2207,29.370641,-98.452996
702,1701 Cactus Blf,78258-7451,29.633495,-98.46927
703,874 New Valley Hi Dr,78227,29.377539,-98.648545
704,108 Chappie James Way,78236-0122,29.386901,-98.599855
705,5802 Kim Valley Dr,78242-2212,29.350343,-98.611644
706,20700 Ih 10 W,78257-1610,29.634114,-98.61289
707,1649 Montana St,78203-1931,29.418521,-98.45461
708,6810 King Henry,78229-4917,29.497493,-98.587269
709,6000 West Ave,78213-2714,29.515444,-98.525923
710,13300 Jones Maltsberger Rd,78247,29.562244,-98.458229
711,700 Holbrook,78218-5207,29.480513,-98.410905
712,2380 Grosenbacher Rd,78245-3468,29.4018,-98.726622
713,4006 Briarglen,78218-1518,29.510978,-98.415257
714,3419 Candlepass Dr,78244-1924,29.461247,-98.362681
715,10419 Old Prue Rd,78249-4137,29.540982,-98.651853
716,4006 Briarglen,78218-1518,29.510978,-98.415257
717,11 Allen Chase,78233,29.543104,-98.361691
718,3626 Highcliff Dr,78218-2418,29.514097,-98.424717
719,700 Holbrook,78218-5207,29.480513,-98.410905
720,3930 Highcliff Dr,78218-2424,29.510773,-98.416565
721,3930 Highcliff Dr,78218-2424,29.510773,-98.416565
722,12042 Blanco Rd,78216-2410,29.55033,-98.51165
723,1235 Lombrano St,78207-1420,29.443226,-98.528911
724,103 Yolanda,78228-5860,29.441948,-98.578822
725,700 Holbrook,78218-5207,29.480513,-98.410905
726,10800 Entrance Rd Ne,,29.425173,-98.494599
727,10800 Entrance Rd Ne,,29.425173,-98.494599
728,1107 Bitters Rd W,78216-7808,29.580736,-98.507494
729,8629 Perrin Beitel,78217-4818,29.518432,-98.410918
730,700 Holbrook,78218-5207,29.480513,-98.410905
731,5931 Akin Song,78261-2169,29.653927,-98.371128
732,7619 Autumn Park,78249-4228,29.548505,-98.635689
733,3509 Candlebrook Ln,78244-1975,29.455502,-98.36671
734,9603 Bandera Rd,78250-5600,29.533842,-98.646565
735,516 Cypress St W,78212-4604,29.440643,-98.499843
736,126 Janis Rae,78201-3812,29.476245,-98.541809
737,9765 Potranco Rd,78251,29.437637,-98.680944
738,10800 Entrance Rd Ne,,29.425173,-98.494599
739,9765 Potranco Rd,78251,29.437637,-98.680944
740,127 Clarence,78212-1656,29.478632,-98.492287
741,5915 Century Dr,78242-1110,29.37345,-98.611297
742,335 Rosemont Dr,78228-4200,29.471892,-98.549915
743,5907 Wales Ave,78223-2851,29.368203,-98.433492
744,5901 Little Brandywine,78233-5125,29.557679,-98.372453
745,835 Oakwood Way,78245-3157,29.424283,-98.70087
746,1303 Lee Hall,78201-3611,29.476056,-98.515733
747,2307 Camberly Vw,,29.425173,-98.494599
748,121 Maryland St,78203-1958,29.416723,-98.455418
749,1114 Onslow,78202,29.428554,-98.443861
750,4300 Nursery Rd,78234,29.465275,-98.428434
751,10823 Entrance Rd Ne,,29.425173,-98.494599
752,7400 Ih 37 S,78112-9683,29.283832,-98.394866
753,7000 Grand Valley Dr,78242-1705,29.36153,-98.611571
754,10700 Entrance Rd Ne,,29.425173,-98.494599
755,1200 Hunt Ln,78251-4618,29.423326,-98.665434
756,3302 Timber View Dr,78251-1687,29.467875,-98.647676
757,1100 Colorado St S,78207,29.415576,-98.512464
758,12300 Grosenbacher Rd W,78245-3615,29.411003,-98.737586
759,16800 Grandin Pass,78247-1866,29.598604,-98.401968
760,134 Arrow Oaks,78249-1534,29.576113,-98.627722
761,131 Ferncroft Dr,78227-4437,29.39502,-98.644835
762,10700 Entrance Rd Ne,,29.425173,-98.494599
763,3907 Salinas W,78207,29.432453,-98.54261
764,171 Amber E,78221-2460,29.345307,-98.500592
765,29621 Elkhorn Ridge,78218-1839,29.504903,-98.401767
766,7107 Westglade Place,78227-2833,29.416163,-98.630462
767,10800 Entrance Rd Ne,,29.425173,-98.494599
768,1815 Mountjoy Dr,78232-2413,29.594389,-98.465259
769,300 Hallett,78226,29.395237,-98.559556
770,10800 Entrance Rd Ne,,29.425173,-98.494599
771,5807 Farragut Dr,78228-4331,29.460401,-98.599363
772,231 Shasta Ave,78221-1625,29.354911,-98.498637
773,10800 Entrance Rd Ne,,29.425173,-98.494599
774,1 Dominion Dr,78257-1247,29.65026,-98.614349
775,4400 Thousand Oaks,78233,29.550477,-98.407423
776,268 Rosewood Ave E,78212-5234,29.465093,-98.488814
777,950 Cincinnati Ave,78201-6028,29.449736,-98.526546
778,500 Belford,78223,29.363772,-98.431668
779,9306 Mountain Field Dr,78240-5434,29.527168,-98.581706
780,4903 Owl Haven,78250-4736,29.48039,-98.648079
781,14111 Blue Smoke,78231-1901,29.571561,-98.537079
782,6330 Pecan Valley Dr,78223-3162,29.363807,-98.441401
783,10800 Entrance Rd Ne,,29.425173,-98.494599
784,6835 Us Hwy 90 W,78227-3610,29.40326,-98.626031
785,307 Serna Park,78218-2038,29.506796,-98.402252
786,204 Panuco,78237-2154,29.429637,-98.548915
787,1104 Mauermann Rd,78224-3102,29.28387,-98.520528
788,7502 Jones Maltsberger Rd,78216,29.502301,-98.481921
789,7502 Jones Maltsberger Rd,78216,29.502301,-98.481921
790,1906 Wrangler Dr,78227-2763,29.413923,-98.642582
791,8400 Redwing Dr,,29.425173,-98.494599
792,10800 Entrance Rd Ne,,29.425173,-98.494599
793,5821 Culebra Rd,78228-5664,29.448505,-98.600628
794,6610 Seidel,78209-4824,29.48924,-98.444659
795,1900 Ashprington,78251-1300,29.45452,-98.640464
796,903 Camino Santa Maria,78228,29.455562,-98.560065
797,10800 Entrance Rd Ne,,29.425173,-98.494599
798,1617 Commerce St W,78207-3546,29.426857,-98.51294
799,10800 Entrance Rd Ne,,29.425173,-98.494599
800,5704 Presa St S,78223-3508,29.365185,-98.468846
801,1403 Harry Wurzbach,78209-6113,29.473739,-98.436127
802,10800 Entrance Rd Ne,,29.425173,-98.494599
803,2209 Virginia Blvd,78203-2343,29.410859,-98.450319
804,12903 Parton Ln,78233-5153,29.558065,-98.371296
805,6102 Rose Valley,78242-2521,29.346295,-98.622017
806,1030 Vance Jackson,78257,29.592858,-98.589437
807,1323 Fenfield Ave,78211-3468,29.363157,-98.565613
808,111 Laurel St E,78212-4300,29.441717,-98.493613
809,10800 Entrance Rd Ne,,29.425173,-98.494599
810,5807 Farragut Dr,78228-4331,29.460401,-98.599363
811,3201 Cherry Ridge Dr,78230-4800,29.507763,-98.547474
812,13819 Parksite Woods,78249-1822,29.572115,-98.574944
813,1431 Cable Ranch Rd,78245-2116,29.42125,-98.65772
814,14022 Floral Rdg,78247-3703,29.569046,-98.440907
815,2250 Buffalo St,78221-1001,29.36342,-98.519317
816,7605 Tezel Rd,78250-3574,29.510462,-98.662387
817,7719 Pasteur Ct,78229-3442,29.509422,-98.566587
818,2600 Quintana Rd,78211-3373,29.365101,-98.564645
819,11639 Elm Rdg,78230-2630,29.546357,-98.548404
820,307 Merrimac St,78223-2067,29.37354,-98.470791
821,10090 Commerce St W,78227-1303,29.436404,-98.631014
822,5615 Joiner Dr,78238-1811,29.485094,-98.597508
823,4002 Stahl Rd,78217-1608,29.565595,-98.414051
824,668 Holbrook,78218-5207,29.48025,-98.410605
825,1927 Goliad Rd,78223-2714,29.366496,-98.441846
826,1919 Rogers Rd,78251-4614,29.453613,-98.682566
827,7526 Westrock Dr,78227-2707,29.402949,-98.638753
828,3506 Ticonderoga,78230-3255,29.536299,-98.553086
829,6418 Eckhert Rd,78240-2632,29.519207,-98.614789
830,400 Berman Rd,78226,29.37583,-98.559017
831,6638 Buena Vista St,78227-1505,29.433144,-98.589443
832,9039 Yett Ave,78221-4131,29.332167,-98.492964
833,319 Duke Ave,78228-5206,29.454769,-98.555692
834,4550 Del Webb Blvd,78253-5761,29.475025,-98.742103
835,409 Cheryl Dr E,78228-3022,29.464721,-98.556643
836,7410 Painter Way,78240-5247,29.506974,-98.596249
837,1003 26Th St Nw,78228-6463,29.437443,-98.544103
838,7300 Loop 410 Nw,78245-2150,29.45065,-98.631542
839,101 Margaret,78209,29.453235,-98.471466
840,851 San Bernardo S,78237-2940,29.418679,-98.5578
841,23500 Ih 10 W,78257,29.656913,-98.625633
842,700 Holbrook,78218-5207,29.480513,-98.410905
843,1039 Waverly,,29.425173,-98.494599
844,101 Aganier Ave,78212-3807,29.446422,-98.50698
845,126 Calmar,78220-3150,29.410924,-98.435934
846,12510 La Bahia,78233-6323,29.551872,-98.39262
847,11601 Wurzbach Pkwy,78230,29.549594,-98.543204
848,1200 Lombrano,78207,29.44429,-98.540322
849,12251 Farview Ln,78216-8507,29.552474,-98.475009
850,700 Holbrook,78218-5207,29.480513,-98.410905
851,1300 Elmendorf N,78207-1141,29.441505,-98.527649
852,8210 Mccullough Ave,78216-6403,29.511692,-98.491728
853,310 Kampmann Blvd,78201-4830,29.458088,-98.536668
854,1151 Mission Rd,78210-4505,29.38478,-98.489514
855,804 Crystal,78211-1718,29.377051,-98.51435
856,3138 Commerce St E,78220-1100,29.419955,-98.438053
857,3803 Barrington,78217-4101,29.522751,-98.421335
858,2128 Poplar St W,78207-1165,29.440887,-98.527071
859,506 Holder Ave,78211-3412,29.36092,-98.563391
860,226 Newson,78201-2720,29.482237,-98.538633
861,203 Jean St,78207-6920,29.411527,-98.517712
862,211 Hermitage Ct,78223-2039,29.371972,-98.470768
863,5717 New Braunfels Ave S,78223,29.368627,-98.46075
864,3800 Parkdale,78229-2031,29.526269,-98.559494
865,535 Hermosa W,78212-1317,29.478706,-98.505926
866,0 Meadow Corner,78219,29.449121,-98.401335
867,618 Elmira St W,78212-5120,29.433662,-98.499635
868,907 Weizmann,78213-4531,29.492073,-98.520076
869,10402 Walnut Crest,78245-2911,29.41891,-98.698027
870,231 Loop 410 Sw,78245-2119,29.437772,-98.643277
871,1830 Lennon Ave,78223-2560,29.371453,-98.46682
872,231 Hialeah Ave,78218-2615,29.497451,-98.410353
873,303 El Monte Blvd,78212-1116,29.48515,-98.499581
874,6410 Flores St N,78212-1125,29.485666,-98.502717
875,7211 Norman Ln,78240-5250,29.506875,-98.595579
876,1807 Mayfield Blvd W,78211-3359,29.363803,-98.561562
877,534 Lincolnshire Dr,78220-3214,29.411175,-98.427477
878,101 Ridgemont Ave,78209-5429,29.481003,-98.459066
879,9500 Adams Hill Dr,78245,29.409351,-98.670795
880,10750 Pleasanton Rd,78221-9688,29.310247,-98.502265
881,1714 Travis St W,78207-3958,29.428696,-98.513736
882,6219 Apple Valley Dr,78242-1505,29.364972,-98.627017
883,230 Escalon Ave,78221-1423,29.355501,-98.519682
884,12798 West Ave,78216,29.560058,-98.495051
885,602 24Th St Nw,78207-2415,29.434862,-98.541937
886,17 Trophy Rdg,78258-7714,29.656247,-98.474408
887,11612 Perrin Beitel,78217-2105,29.545836,-98.410539
888,7007 Loop 410 Nw,78238-4115,29.457211,-98.627056
889,3600 Wiseman Blvd,78251-4323,29.475169,-98.686418
890,8955 Seacliff,78242-3010,29.337219,-98.605195
891,10762 Pleasanton Rd,78221-9688,29.281297,-98.500289
892,1515 Mission Rd,78210-4502,29.382141,-98.489689
893,6815 Greencastle Dr,78242-1315,29.366358,-98.607519
894,4215 Martin St W,78207-2711,29.43342,-98.541276
895,2922 Blanco Rd,78212-1813,29.473711,-98.507866
896,2222 Alamo St N,78215,29.446185,-98.474637
897,303 Industrial Vw,78226,29.390627,-98.541374
898,15751 Mission Rdg,78232,29.588941,-98.511194
899,4303 Commerce St W,78237-1625,29.43004,-98.546732
900,2639 Mossrock,78230-5113,29.513037,-98.536611
901,700 Holbrook,78218-5207,29.480513,-98.410905
902,668 Holbrook,78218-5207,29.48025,-98.410605
903,668 Holbrook,78218-5207,29.48025,-98.410605
904,700 Holbrook,78218-5207,29.480513,-98.410905
905,200 Ira Lee Rd,78218-1703,29.504837,-98.421363
906,1074 Arion Cir,78216-2829,29.550733,-98.478053
907,908 Manor Dr,78228-3256,29.464724,-98.542815
908,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964
909,310 Kampmann Blvd,78201-4830,29.458088,-98.536668
910,11400 Starcrest Dr,78216,29.546262,-98.454656
911,6138 Pyrite Loop,78222-4146,29.366425,-98.368931
912,111 Yolanda,78228-5860,29.442273,-98.578782
913,1426 San Francisco,78201-4115,29.468746,-98.518407
914,3540 Eagle Crk,78222-3435,29.379788,-98.367031
915,1135 Mission Rd,78210-4505,29.385518,-98.489741
916,1235 Lombrano,78207,29.44429,-98.540322
917,1026 Leal St,78207-2233,29.434624,-98.518397
918,2204 Poplar St W,78207-1425,29.440968,-98.527973
919,83 Arrowhead Dr,78228-1804,29.482204,-98.573458
920,409 Cheryl Dr E,78228-3022,29.464721,-98.556643
921,407 Tulane,78228-5510,29.448587,-98.549734
922,2302 Woodlawn W,78201,29.455146,-98.537683
923,21023 La Pena Dr,78258-2935,29.635694,-98.491886
924,10606 Rimcrest Dr,78217-2856,29.537519,-98.428504
925,4903 Benham,78220-4835,29.407565,-98.397745
926,23500 Ih 10 W,78257,29.656913,-98.625633
927,668 Holbrook,78218-5207,29.48025,-98.410605
928,900 Holbrook,78218,29.484872,-98.41622
929,1033 38Th St Sw,78237-3326,29.411509,-98.578848
930,715 Contour Dr E,78212-1702,29.478181,-98.482659
931,2438 Betty Jean,78223-2273,29.372461,-98.453761
932,9014 Silver Arrow,78224-2235,29.333577,-98.534582
933,1074 Arion Cir,78216-2829,29.550733,-98.478053
934,11401 Starcrest Dr,78216,29.546312,-98.454854
935,23500 Ih 10 W,78257,29.656913,-98.625633
936,2222 Alamo St N,78215,29.446185,-98.474637
937,1318 San Francisco,78201-4113,29.468743,-98.516375
938,755 Avondale Ave,78223-2207,29.370641,-98.452996
939,3495 Valley Rd,78221-5238,29.238149,-98.430732
940,2900 Flores St S,78204-2631,29.395229,-98.504286
941,173 Ira Lee Rd,78218,29.501671,-98.421322
942,4615 Evans Rd E,78259,29.644614,-98.398786
943,202 Pinewood Ln,78216-6729,29.50988,-98.496285
944,630 Fresno,78212-1405,29.474205,-98.504087
945,1600 Hedges St,78203-2152,29.414027,-98.444676
946,1333 Buena Vista St,78207-3907,29.425827,-98.513415
947,804 Crystal,78211-1718,29.377051,-98.51435
948,114 Hearne,78225-1642,29.38954,-98.522067
949,700 Holbrook,78218-5207,29.480513,-98.410905
950,818 Valley Hi Dr,78227-4604,29.380841,-98.640524
951,9706 Ih 35 N,78233-6609,29.526977,-98.392631
952,23500 Ih 10 W,78257,29.656913,-98.625633
953,902 Holbrook,78218,29.48491,-98.416246
954,5802 Kim Valley,78242-2212,29.350343,-98.611644
955,409 Cheryl Dr E,78228-3022,29.464721,-98.556643
956,2630 Arbor Place,78228-6408,29.439235,-98.545136
957,818 Valley Hi Dr,78227-4604,29.380841,-98.640524
958,8671 Loop 410 Access Rd Sw,78245-2148,29.443089,-98.638959
